event,city,user_id,gaid,lr_uid,brand,date_stamp_ist,date_ist
App Access,Bhopal,42dAGpFupCVhvx7yeGw6pM0nYwp1,586804da-6276-4ea5-b85e-da69aea41a87,42dAGpFupCVhvx7yeGw6pM0nYwp1,OPPO,01-11-2020,01-11-2020 13:09
mediaReady,Bengaluru,null,9285c184-51d5-451b-891f-99eae7fc1663,hFfPk7lCvkMn5jzFLe61MH6WL5f2,samsung,01-11-2020,01-11-2020 13:12
App Access,Pune,VZrIKAo6MUZdi9AUHYZZ385wY2P2,16c0286c-b8ce-44be-8404-3504fd51ab7e,VZrIKAo6MUZdi9AUHYZZ385wY2P2,samsung,01-11-2020,01-11-2020 13:31
App Access,New Delhi,3dc0c26f9c4e48bc8ff822b071c1ae78,6975da2d-a73b-49ac-b42f-37ff70a48b2d,3dc0c26f9c4e48bc8ff822b071c1ae78,xiaomi,01-11-2020,01-11-2020 13:16
App Access,Bhopal,0d850e613b6b46358412ceba90f454ed,bbb12805-302f-4597-868c-dc77f688a0e1,0d850e613b6b46358412ceba90f454ed,xiaomi,01-11-2020,01-11-2020 12:49
App Access,Delhi,null,31dd9cf5-f11e-41f8-beae-4862a3e1f69a,867c8717a3d747e8ac5d3ba5b6c729bb,samsung,01-11-2020,01-11-2020 12:07
Video Watched,Pune,gPYQGVHeSHOz6YY5oK2QLTl7AJ73,90e4b105-cac4-4e63-a875-7f5038c401a6,gPYQGVHeSHOz6YY5oK2QLTl7AJ73,samsung,01-11-2020,01-11-2020 12:11
App Access,null,null,a609db37-74ca-4cf0-8f5e-b5a4ee75eb9c,null,OPPO,01-11-2020,01-11-2020 13:35
mediaReady,Lucknow,2dc9d9e7aff5478e9b4a85efcb91ac0f,e7b9db20-5ea8-47f0-87fe-84ae83650796,2dc9d9e7aff5478e9b4a85efcb91ac0f,samsung,01-11-2020,01-11-2020 13:55
Video Watched,Bengaluru,null,40d1341b-0501-4e65-b724-eb5bc9c70a9a,WIasTEyBSThy2Xp8vTDSIKkhF9s1,OPPO,01-11-2020,01-11-2020 12:58
App Access,Kolkata,null,fa30b204-a6d4-4b5a-9c42-e06c1925b0d0,g78SQWYFhzOuVpMjnRlSTHhMvh33,realme,01-11-2020,01-11-2020 10:29
mediaReady,New Delhi,0e76731be7b649249f967212d401f63e,0a8818be-8ac3-4e8b-af2a-b86053a512b9,0e76731be7b649249f967212d401f63e,samsung,01-11-2020,01-11-2020 13:58
App Access,Pune,rbGaV310G2a55jk4XLROAPdsNeP2,9b2c9e68-e44f-4a84-a2d6-263a83b9f080,rbGaV310G2a55jk4XLROAPdsNeP2,xiaomi,01-11-2020,01-11-2020 13:17
mediaReady,Patna,831fdf6563f040cba46a101339fdf1cb,55e10ed3-f555-4b4f-9c75-2f28501bdebc,831fdf6563f040cba46a101339fdf1cb,Nokia,01-11-2020,01-11-2020 13:50
mediaReady,Chennai,null,6F472931-606A-495F-A5B2-040185F27B0F,null,null,01-11-2020,01-11-2020 10:55
Video Watched,Mumbai,a53f3290eefe4514983496cd5367cba6,44e358b1-e1db-47f6-8481-a7c0bb9316c0,a53f3290eefe4514983496cd5367cba6,OPPO,01-11-2020,01-11-2020 13:05
mediaReady,Lucknow,null,c8928dff-7861-4b76-8f7e-b36d35de2f42,scf7FKru7CdngrnAlXW5sTlCpHc2,vivo,01-11-2020,01-11-2020 12:30
Video Watched,New Delhi,null,172c0de1-4ec2-4e26-912a-8a33feadc883,4543c51b213d4860987826ee9d2ad316,HONOR,01-11-2020,01-11-2020 12:05
App Access,New Delhi,null,5ee1e35b-a3c5-4b65-8bfd-2397daa6d372,KyzM9pgYTPNWR2w1Ge3d9BxoZj73,vivo,01-11-2020,01-11-2020 12:01
mediaReady,Mumbai,HcMarvp6pXN52anSE6EVkixgdCp2,33b58475-90ed-4e88-9e15-95f5eb58a3a3,HcMarvp6pXN52anSE6EVkixgdCp2,samsung,01-11-2020,01-11-2020 12:50
App Access,Mohali,null,2b1f111d-6475-47e1-b5ac-ee6f5a3fb248,eQ1utI6fFKeuHuBdqLVELLO8aZV2,OPPO,01-11-2020,01-11-2020 13:43
Video Watched,Nainital,8554a73d11c94e309ab1c39bca3c04f6,2e1b5357-f13b-47f3-b2a4-769381c01b8b,8554a73d11c94e309ab1c39bca3c04f6,realme,01-11-2020,01-11-2020 07:15
mediaReady,Mumbai,null,5e790d93-021a-421f-b07f-938889e813ae,AOyKXYfzjJPchLovy1yvVzV28L93,OPPO,01-11-2020,01-11-2020 12:52
mediaReady,Bhubaneswar,null,9b23fdf8-3612-4da2-80b6-1c1c43ba9896,oV7hFQ63qcOLKJSfdWmxTb1RjMx2,OPPO,01-11-2020,01-11-2020 13:45
mediaReady,Pune,null,a90ff9ca-b7ca-4774-b368-d4f1a6fd1eb9,ffBdXqiYxNQDZLROcBCADSEeXK22,vivo,01-11-2020,01-11-2020 13:13
Video Watched,Bhopal,null,4a4b8693-3369-4cb4-8486-25440bdd033a,tPNRdFTZdecwVKxGJCOHhurFOs33,xiaomi,01-11-2020,01-11-2020 12:28
mediaReady,Patna,oZRUCTBzQJVyXRHF9JWNdh6RTIt2,e5e405e8-7c7d-41f0-a69c-3cbe7dc3f878,oZRUCTBzQJVyXRHF9JWNdh6RTIt2,GIONEE,01-11-2020,01-11-2020 12:38
App Access,Jalandhar,null,c40b7105-d2dc-4692-86a8-13a64d46e20a,J6oB7BzPAQcV6Svmwf1qVNH84pR2,vivo,01-11-2020,01-11-2020 12:39
Video Watched,Delhi,zdnOnsFYNWUWkejapfFBix2220q2,033a00ca-4577-4599-ad9a-705593c68d1d,zdnOnsFYNWUWkejapfFBix2220q2,samsung,01-11-2020,01-11-2020 13:37
App Access,Ludhiana,kr0e2c0cPhPFPBljFF4dSEbXk1M2,d9043a5a-acc3-4cfd-a8b7-44f940f34d7e,kr0e2c0cPhPFPBljFF4dSEbXk1M2,vivo,01-11-2020,01-11-2020 13:45
App Access,Thane,null,da02799d-305a-4610-bc90-536d08040054,XbJ3akmrQhhTZvjuEjQtEarXpwK2,OnePlus,01-11-2020,01-11-2020 12:34
App Access,Chandigarh,EokZ3174OiT44E6ksUI2X0mVGWX2,9d4b728a-7715-4c24-bbaa-2ce510402a84,EokZ3174OiT44E6ksUI2X0mVGWX2,OPPO,01-11-2020,01-11-2020 12:01
App Access,Ahmedabad,2e057004bc9e43f09163bde748282b77,122f56f1-92bd-4641-9334-00fc99bba2eb,2e057004bc9e43f09163bde748282b77,vivo,01-11-2020,01-11-2020 13:31
mediaReady,Delhi,d442f34b417b4b1cb36a1af8b10dfa57,4bd4ab92-66e9-4bb8-a510-3bccb5cbbb2d,d442f34b417b4b1cb36a1af8b10dfa57,Android,01-11-2020,01-11-2020 12:53
App Access,Lucknow,null,591364eb-17f8-46fd-84d0-b602ad970d14,47Mx82jrzGQNgaYENVF3gqKOGt53,xiaomi,01-11-2020,01-11-2020 13:58
App Access,Guwahati,LgKPup37imf1RdTtAtmuCzLlifk2,e1219b9b-b2b7-4979-ba1d-f89eeb555114,LgKPup37imf1RdTtAtmuCzLlifk2,OPPO,01-11-2020,01-11-2020 12:11
App Access,Delhi,enW5JX0T3jfvmsnsCFL0T1H5IUI2,fdee2635-2597-4a88-810f-05c434490900,enW5JX0T3jfvmsnsCFL0T1H5IUI2,Infinix,01-11-2020,01-11-2020 13:18
Video Watched,Kolkata,null,28ddbf6b-ee18-4c0d-9afc-6898a6e40a2e,HJQcReeswVQwES7f2KK3wnzo6hJ3,vivo,01-11-2020,01-11-2020 12:07
mediaReady,Indore,null,df3bcf8c-ca9a-42c7-85b4-7d0992a419a1,6MU9TmzI5MQ7NjqLDNUIlP4u0we2,samsung,01-11-2020,01-11-2020 12:01
Video Watched,Mysore,null,325ccf39-66ad-4752-9b11-11e1af1e9c5b,90b297310a0241b58375de79fd992eca,samsung,01-11-2020,01-11-2020 13:58
App Access,Delhi,e6576b801f1e4ea78d25590a06ef313c,b553aeb2-0bfc-4465-b539-08efd839cf02,e6576b801f1e4ea78d25590a06ef313c,Redmi,01-11-2020,01-11-2020 13:27
mediaReady,Jaipur,null,e9a71d8e-5949-4dbd-8b30-4314801b988f,Kd00FioyfFSX7vfpdhG1g5PQMYm1,vivo,01-11-2020,01-11-2020 13:34
mediaReady,Jaipur,yoXSr23PBMgsQLz3aJxVTkOFiFE2,0e11d337-4a52-4658-907b-25e29150329d,yoXSr23PBMgsQLz3aJxVTkOFiFE2,realme,01-11-2020,01-11-2020 08:15
Video Watched,Panipat,null,193db388-b714-463c-b6cc-f115ce19d1de,rIfjDOG5QXVpRNaDlS3NqPK62B63,vivo,01-11-2020,01-11-2020 13:08
mediaReady,Lucknow,12a9af18eee3415bb6f03e689d296f6f,c85b83d1-4c0e-4925-83ea-7640cbd9c5e8,12a9af18eee3415bb6f03e689d296f6f,vivo,01-11-2020,01-11-2020 12:13
mediaReady,Lucknow,null,dd7bd894-7b17-4703-9dc1-682c55df9042,2Wv53f4WVtOCOPEvlAHm4mKPMnK2,samsung,01-11-2020,01-11-2020 12:33
mediaReady,Delhi,fvN4kErafAa69pfY5ZZLVxno4U52,51250ae6-4346-4938-8e11-d02a00d911d8,fvN4kErafAa69pfY5ZZLVxno4U52,OPPO,01-11-2020,01-11-2020 13:55
Video Watched,Bengaluru,XEk7I3XbwCT2ulkkosK5FsUApnI2,0a1b02b1-3f34-488d-9e1f-3ce8e08a2d83,XEk7I3XbwCT2ulkkosK5FsUApnI2,Lenovo,01-11-2020,01-11-2020 12:24
App Access,Delhi,15323dcbee1a488c901d2d98c2570daa,fb08927b-ef32-4ac4-8c88-12c94ee12cb6,15323dcbee1a488c901d2d98c2570daa,OnePlus,01-11-2020,01-11-2020 13:29
App Access,Rohtak,null,3ae4bb23-b35f-4903-b344-3a1f942c64a3,BmttwbxrfcV1BBtMNumzIgtCz9l1,Xiaomi,01-11-2020,01-11-2020 13:39
Video Watched,Bhopal,6d2b454bfa11492cbf78382f5b970dd3,e367f9b2-3dcd-452d-8526-66388b5ec34b,6d2b454bfa11492cbf78382f5b970dd3,Infinix,01-11-2020,01-11-2020 12:47
App Access,Bhubaneswar,ca3b2d3795b047d09808cfa0393197cb,31818fee-cc7a-4696-ae19-45ce33270fc6,ca3b2d3795b047d09808cfa0393197cb,vivo,01-11-2020,01-11-2020 12:22
mediaReady,Patna,null,00000000-0000-0000-0000-000000000000,null,null,01-11-2020,01-11-2020 12:31
App Access,Mumbai,rhnu50Q4K8U4B1xd4Yeio9EjUZB2,dc02b73e-d7b4-4493-b660-afbcdaa9fb35,rhnu50Q4K8U4B1xd4Yeio9EjUZB2,samsung,01-11-2020,01-11-2020 13:33
App Access,Bhubaneswar,25763a347c3a4474be7c0cd51d339672,8d4b6f4d-b079-4a97-a736-9ddc99d7bc7e,25763a347c3a4474be7c0cd51d339672,Xiaomi,01-11-2020,01-11-2020 13:03
App Access,Hyderabad,null,79023a03-f4e4-4c74-ab71-825e5acb221a,PYG78S90DKUzucHRLQaQ637YhJ52,Xiaomi,01-11-2020,01-11-2020 10:53
App Access,Delhi,null,b3de9457-4474-43b8-a84c-e9fd17bf4e69,7KYzaru7knU9gQOFREvwyJGBuu72,Realme,01-11-2020,01-11-2020 13:15
Video Watched,Junagadh,29a95db89121494496e674bce537f21d,701ac306-072b-46f4-95e7-2d67d15a05c6,29a95db89121494496e674bce537f21d,OPPO,01-11-2020,01-11-2020 13:43
App Access,Ahmedabad,63ccb7d33de345a6ab1dd4d9aa9b6c2e,fbc14d94-a7a9-4319-aea9-05efa140e3aa,63ccb7d33de345a6ab1dd4d9aa9b6c2e,samsung,01-11-2020,01-11-2020 09:55
App Access,null,DExRHLZM5FXu7yLqhpTWCPpN8zY2,b55294e2-9bd7-4719-b934-b00ce04246c4,DExRHLZM5FXu7yLqhpTWCPpN8zY2,Micromax,01-11-2020,01-11-2020 13:29
Video Watched,Lucknow,NsY8kDykW2Q2gzRPkhwjSgG33dq1,683b1a1d-471f-4c50-b1f5-c9b452ee2cea,NsY8kDykW2Q2gzRPkhwjSgG33dq1,vivo,01-11-2020,01-11-2020 12:38
Video Watched,Mumbai,b160e58f1a424dbc9c177a814b66388b,65d719e4-fbe5-4d75-a99f-4f8ec5b89d67,b160e58f1a424dbc9c177a814b66388b,OPPO,01-11-2020,01-11-2020 12:01
App Access,Kolkata,j0hxqmINiyQ7vKzTuH2q6uS4bg92,44519e21-e391-4a5e-9939-814f7b5498e4,j0hxqmINiyQ7vKzTuH2q6uS4bg92,samsung,01-11-2020,01-11-2020 12:45
App Access,Jaipur,3a89cf4c6714456aac297c3790549e29,402d61d7-aba2-4db1-b6ef-dde2cce66edd,3a89cf4c6714456aac297c3790549e29,vivo,01-11-2020,01-11-2020 11:43
App Access,Pune,null,042f7345-8722-4912-81dc-139e9c2f396f,05wgIBxfYHag39CvOOLisCKqWa12,samsung,01-11-2020,01-11-2020 12:47
App Access,Ahmednagar,null,af287adf-6322-461a-84c8-2efa3b95b8a0,FuLnQrhhSFhpfbXY7q1FHexegsh1,xiaomi,01-11-2020,01-11-2020 11:29
Video Watched,Delhi,819dd17cbfd240e3bd69653eed2227d5,d2e4b702-cfd9-47ed-88b0-4da8d34f05c4,819dd17cbfd240e3bd69653eed2227d5,samsung,01-11-2020,01-11-2020 12:11
App Access,New Delhi,s4ciqlfcwzbQLCA9VvmKh3L31Fo2,d0992076-2663-4b11-b6aa-b56305e8a0ba,s4ciqlfcwzbQLCA9VvmKh3L31Fo2,vivo,01-11-2020,01-11-2020 11:30
App Access,Jaipur,f6c347c1ce32412dae45bf9f18377285,efd5efec-8d6c-4d06-b545-9c0215330652,f6c347c1ce32412dae45bf9f18377285,samsung,01-11-2020,01-11-2020 13:00
App Access,Pune,4b33123149cf4751af465762d2e002ce,52cf8f6c-0279-4d5b-95fa-35815f701387,4b33123149cf4751af465762d2e002ce,OPPO,01-11-2020,01-11-2020 13:08
mediaReady,Bengaluru,null,fb90164f-82cc-4d0d-b966-b0a1a6707139,zQxu51hNgSaHPcz7ZfIxTsMBBHm2,Redmi,01-11-2020,01-11-2020 12:13
App Access,Surat,Q8pyAQbinWhwbbqfG2Amg4ITo493,96f3bd02-9d4c-4056-b813-21f905a97213,Q8pyAQbinWhwbbqfG2Amg4ITo493,HONOR,01-11-2020,01-11-2020 12:50
mediaReady,Mumbai,791cdf65cddb47a183744ea344b59727,4c177d10-ade5-4749-9b17-b9ad0fc035f2,791cdf65cddb47a183744ea344b59727,xiaomi,01-11-2020,01-11-2020 13:02
Video Watched,Meerut,250b47ead9924b48a2245066b342408a,4cc2ffd9-ea83-4e4c-bf4f-e363c99c684b,250b47ead9924b48a2245066b342408a,samsung,01-11-2020,01-11-2020 13:27
App Access,Surat,119fc7f3b228477ba53720f25cd02a95,51197385-9760-41f6-ae02-d00db700ef6a,119fc7f3b228477ba53720f25cd02a95,OnePlus,01-11-2020,01-11-2020 12:30
mediaReady,Ludhiana,6TvgcdNDxiMdFAXbCXnWXf5PkHo2,null,6TvgcdNDxiMdFAXbCXnWXf5PkHo2,OPPO,01-11-2020,01-11-2020 12:03
mediaReady,Indore,UB604474AShpY9uvFe7kVWm0Qgw2,592bc2c2-35ba-455c-9041-1fc5690d83cf,UB604474AShpY9uvFe7kVWm0Qgw2,xiaomi,01-11-2020,01-11-2020 13:38
App Access,Delhi,null,8aee64ac-25e2-42ef-830d-ac9ba6746516,aUdTPlGi7Lc0KtvUaCZpKHqEONy1,vivo,01-11-2020,01-11-2020 12:13
App Access,Hyderabad,3cbbdb4da7b547bab9aa245439ea19b4,3c620c0b-8aad-4c5e-8b52-33f2fe8129a1,3cbbdb4da7b547bab9aa245439ea19b4,vivo,01-11-2020,01-11-2020 13:26
Video Watched,Thane,w80HXA6ZgSWlaeaYFw4Y7IBaw8k2,3a026822-50f7-43f9-91b1-53721789a59c,w80HXA6ZgSWlaeaYFw4Y7IBaw8k2,OPPO,01-11-2020,01-11-2020 12:50
App Access,Ahmedabad,da99ca5eaa7f4c85813bb681f52ef646,4370611b-f9fe-4adc-8187-28d912b0ec61,da99ca5eaa7f4c85813bb681f52ef646,xiaomi,01-11-2020,01-11-2020 12:47
App Access,Kolkata,4dUYz1IVJMTf9p28yIbLzB8ah862,2269d091-55ba-4669-ba70-124ccc9684b5,4dUYz1IVJMTf9p28yIbLzB8ah862,xiaomi,01-11-2020,01-11-2020 12:56
Video Watched,Mysore,null,81fcca14-6c15-46be-8b42-eea4bf8e2232,Y2VEphHgMxYtwMrzbD5pP1sqQF03,samsung,01-11-2020,01-11-2020 13:16
App Access,New Delhi,6092fba8af6a4b1cba856241a90ab236,e1437e4b-94fb-4b41-b117-fb43e09f27d4,6092fba8af6a4b1cba856241a90ab236,Xiaomi,01-11-2020,01-11-2020 10:46
mediaReady,Srinagar,null,a4677658-95ea-42f6-9617-88b162ac32ba,FosVbJ9WXSRCjz6O6b9Tt3SP4iq1,Realme,01-11-2020,01-11-2020 12:10
mediaReady,Lucknow,ZdpxpvoiidT8qtviUcdJgAB6OUJ3,8888eebe-6783-4c5b-9f09-b65d9c9d9930,ZdpxpvoiidT8qtviUcdJgAB6OUJ3,samsung,01-11-2020,01-11-2020 12:53
App Access,Pune,bb252608b5b140b890c34d01fe9768b1,f025af2b-bc6d-4eb1-bfd1-4f6f804f1ada,bb252608b5b140b890c34d01fe9768b1,xiaomi,01-11-2020,01-11-2020 12:25
App Access,Ahmedabad,null,1f5f2b45-5b4b-4145-a7f2-63103e7fe3ed,RhIZwWKluaQNZdN9zEwd11Hdzdk1,Micromax,01-11-2020,01-11-2020 13:50
Video Watched,Lucknow,null,e7b74720-09ed-499d-9617-159b07209fd0,gNhyTUCPI8cn1Lwcqf93sucTiQI3,GIONEE,01-11-2020,01-11-2020 12:23
